time,open,high,low,y_f1m,volume,vn30_index
2023-09-11 10:00:00,1255.8,1256.4,1251.3,1253.0,39966,1250.79
2023-09-11 11:00:00,1253.0,1253.7,1249.1,1251.3,17273,1248.91
2023-09-11 13:00:00,1251.5,1252.6,1241.4,1244.4,56816,1241.59
2023-09-11 14:00:00,1244.8,1244.8,1217.0,1233.0,78416,1230.71
2023-09-12 10:00:00,1234.0,1238.3,1232.8,1238.0,40476,1238.56
2023-09-12 11:00:00,1237.6,1239.3,1236.3,1236.6,18791,1235.12
2023-09-12 13:00:00,1236.6,1244.7,1232.5,1244.7,62918,1242.58
2023-09-12 14:00:00,1244.9,1259.0,1244.9,1257.0,60271,1255.83
2023-09-13 10:00:00,1256.7,1256.9,1245.8,1250.6,63218,1253.5
2023-09-13 11:00:00,1250.8,1255.7,1250.2,1252.5,27831,1256.83
2023-09-13 13:00:00,1252.8,1260.6,1249.2,1253.5,71335,1255.68
2023-09-13 14:00:00,1253.3,1254.3,1236.1,1245.0,77489,1247.95
2023-09-14 10:00:00,1250.4,1250.5,1241.0,1242.9,52133,1247.41
2023-09-14 11:00:00,1243.0,1244.6,1238.8,1240.8,31233,1242.76
2023-09-14 13:00:00,1240.4,1243.7,1230.7,1237.4,74638,1238.91
2023-09-14 14:00:00,1236.9,1245.0,1227.1,1235.0,74617,1234.06
2023-09-15 10:00:00,1243.4,1244.9,1237.1,1238.0,54637,1236.39
2023-09-15 11:00:00,1238.0,1238.4,1234.7,1234.7,31771,1235.04
2023-09-15 13:00:00,1234.7,1243.0,1233.8,1242.8,68175,1239.4
2023-09-15 14:00:00,1243.0,1244.1,1235.2,1240.5,58363,1238.81
2023-09-18 10:00:00,1226.7,1228.5,1222.2,1224.6,52503,1227.88
2023-09-18 11:00:00,1224.6,1225.8,1219.1,1220.9,24645,1225.09
2023-09-18 13:00:00,1220.5,1225.8,1216.4,1222.0,63700,1223.88
2023-09-18 14:00:00,1221.9,1226.0,1213.0,1222.0,65160,1223.7
2023-09-19 10:00:00,1223.6,1223.8,1216.0,1216.0,41026,1217.57
2023-09-19 11:00:00,1215.9,1217.5,1213.8,1216.5,24245,1217.93
2023-09-19 13:00:00,1216.5,1224.2,1215.0,1219.2,67145,1220.33
2023-09-19 14:00:00,1219.0,1229.4,1214.0,1222.0,76860,1225.5
2023-09-20 10:00:00,1223.7,1227.2,1221.9,1226.1,40480,1226.96
2023-09-20 11:00:00,1226.1,1228.0,1224.8,1226.6,17151,1227.65
2023-09-20 13:00:00,1226.6,1231.4,1226.3,1228.2,47841,1230.06
2023-09-20 14:00:00,1228.3,1236.6,1228.0,1231.6,50901,1234.57
2023-09-21 10:00:00,1228.6,1228.6,1225.4,1227.0,28618,1228.43
2023-09-21 11:00:00,1227.0,1229.1,1225.9,1226.8,11491,1228.69
2023-09-21 13:00:00,1226.4,1229.0,1222.6,1223.8,38442,1225.63
2023-09-21 14:00:00,1223.8,1224.8,1217.1,1220.6,44103,1219.19
2023-09-25 10:00:00,1189.9,1195.5,1188.8,1193.8,41069,1196.88
2023-09-25 11:00:00,1193.9,1194.5,1192.1,1193.7,13048,1196.52
2023-09-25 13:00:00,1193.7,1194.2,1181.0,1182.4,62917,1185.52
2023-09-25 14:00:00,1182.3,1183.8,1160.7,1162.5,73151,1159.94
2023-09-26 10:00:00,1162.4,1174.1,1161.5,1168.0,72143,1164.52
2023-09-26 11:00:00,1168.0,1170.1,1154.5,1156.4,47313,1155.18
2023-09-26 13:00:00,1156.2,1172.9,1155.0,1171.8,109509,1169.58
2023-09-26 14:00:00,1171.6,1175.3,1151.0,1151.6,86987,1153.37
2023-09-27 10:00:00,1149.1,1155.8,1149.1,1152.1,64222,1149.3
2023-09-27 11:00:00,1152.1,1152.8,1146.0,1150.7,37951,1146.2
2023-09-27 13:00:00,1151.0,1158.0,1151.0,1155.6,75855,1152.25
2023-09-27 14:00:00,1155.8,1165.5,1155.5,1163.7,69398,1168.6
2023-09-28 10:00:00,1158.6,1158.6,1139.0,1147.0,88688,1151.0
2023-09-28 11:00:00,1146.5,1151.4,1141.5,1150.0,44672,1152.49
2023-09-28 13:00:00,1150.0,1163.8,1145.3,1161.0,97355,1161.44
2023-09-28 14:00:00,1160.3,1166.4,1152.0,1162.5,86877,1164.45
2023-09-29 10:00:00,1170.7,1173.1,1166.0,1170.4,51412,1171.75
2023-09-29 11:00:00,1170.3,1170.7,1166.5,1168.3,23704,1168.77
2023-09-29 13:00:00,1168.3,1169.4,1163.8,1168.6,64041,1168.54
2023-09-29 14:00:00,1168.7,1172.0,1160.5,1160.6,61879,1166.26
