time,open,high,low,y_f1m,volume,vn30_index
2017-08-10,757.9,757.9,745.5,745.9,367,743.42
2017-08-11,746.0,746.4,743.4,745.7,510,744.99
2017-08-14,745.9,748.9,745.7,748.9,707,751.39
2017-08-15,750.3,750.9,748.0,748.0,916,746.07
2017-08-16,747.7,748.4,745.1,748.1,1065,749.37
2017-08-17,748.5,749.8,744.5,744.6,1134,743.2
2017-08-18,741.5,743.5,741.1,742.9,2490,744.3
2017-08-21,742.8,743.4,741.6,741.8,2601,743.66
2017-08-22,741.5,741.7,738.6,738.7,3128,738.2
2017-08-23,738.5,739.7,737.0,738.8,5824,743.1
2017-08-24,739.5,742.4,738.6,741.6,6563,747.72
2017-08-25,741.7,743.3,741.7,743.1,5386,751.14
2017-08-28,743.4,751.0,743.0,751.0,5828,758.02
2017-08-29,751.8,752.9,747.0,747.0,5223,754.59
2017-08-30,748.7,752.6,748.3,752.6,4413,764.57
2017-08-31,753.0,760.5,752.8,758.1,5359,770.08
2017-09-01,758.8,762.2,758.6,762.0,5720,774.06
2017-09-05,761.9,763.8,760.5,763.0,4580,777.02
2017-09-06,762.3,763.7,761.3,763.5,4564,776.97
2017-09-07,763.5,773.9,763.3,770.0,6142,779.2
2017-09-08,771.0,776.4,770.9,775.1,6318,784.74
2017-09-11,774.8,779.6,769.0,769.0,7003,779.58
2017-09-12,769.0,772.8,766.7,772.6,9529,782.54
2017-09-13,773.9,778.5,773.7,778.5,7169,786.43
2017-09-14,779.0,785.5,779.0,784.5,7736,789.41
2017-09-15,784.6,786.5,782.3,784.5,7175,789.49
2017-09-18,786.5,793.2,785.2,791.9,6221,793.7
2017-09-19,793.7,795.9,792.1,792.5,6312,792.68
2017-09-20,791.1,793.3,789.1,789.9,6765,790.48
2017-09-21,790.6,790.7,786.0,787.2,4674,786.41
2017-09-22,785.3,787.7,784.4,785.6,6515,789.7
2017-09-25,786.8,787.3,785.2,786.0,5199,789.89
2017-09-26,786.0,787.0,784.6,787.0,4518,791.05
2017-09-27,787.0,787.6,786.4,787.0,3205,788.31
2017-09-28,786.9,792.4,786.6,788.0,7975,790.75
2017-09-29,788.5,791.8,788.3,790.3,7060,792.72
2017-10-02,790.8,792.5,787.0,788.3,6062,790.7
2017-10-03,787.2,789.2,783.8,784.5,7262,787.02
2017-10-04,784.2,792.0,783.5,792.0,8062,795.76
2017-10-05,792.5,796.3,791.5,793.0,10122,797.42
2017-10-06,794.0,796.0,791.6,795.8,9045,800.42
2017-10-09,797.6,799.0,796.5,799.0,8325,801.49
2017-10-10,798.2,802.0,797.8,802.0,6643,805.3
2017-10-11,803.3,807.5,800.0,804.2,9921,806.83
2017-10-12,805.0,808.1,805.0,807.0,8397,809.6
2017-10-13,807.3,814.0,806.4,814.0,9827,815.47
2017-10-16,815.6,816.6,812.3,813.5,7671,811.85
2017-10-17,812.9,817.4,812.2,817.4,6126,818.48
2017-10-18,818.4,820.8,815.0,815.0,6053,816.84
2017-10-19,816.0,819.1,816.0,817.2,5647,817.39
2017-10-20,817.9,819.5,813.5,813.9,11038,813.99
2017-10-23,814.0,814.5,807.2,808.2,10316,809.36
2017-10-24,808.2,813.0,806.7,813.0,15474,815.24
2017-10-25,814.5,820.6,812.5,820.6,12204,821.45
2017-10-26,820.5,824.0,815.8,820.8,17377,822.53
2017-10-27,822.3,831.0,819.1,831.0,18567,834.91
2017-10-30,834.0,839.8,831.0,836.2,15450,837.52
2017-10-31,834.2,837.4,830.5,831.9,19633,831.62
2017-11-01,830.5,835.8,830.3,835.8,15611,835.38
2017-11-02,836.5,839.8,830.0,830.0,22192,827.66
2017-11-03,828.7,838.0,828.2,838.0,20823,840.04
2017-11-06,841.0,845.0,838.3,845.0,16841,844.73
2017-11-07,846.1,850.6,844.0,847.0,20580,846.03
2017-11-08,846.5,857.0,846.5,857.0,20034,853.57
2017-11-09,856.8,860.9,856.2,857.3,18926,853.05
2017-11-10,857.0,861.0,855.5,857.3,18344,858.2
2017-11-13,857.5,863.8,857.5,863.5,7471,868.11
2017-11-14,865.5,871.9,863.5,869.7,9399,871.08
2017-11-15,871.5,880.2,868.5,877.0,7473,877.58
2017-11-16,878.0,888.1,877.0,888.1,6160,890.01
2017-11-17,897.5,908.0,891.5,903.0,13311,887.41
2017-11-20,904.9,930.0,904.1,930.0,10205,899.31
2017-11-21,935.0,965.8,933.8,958.0,14988,910.54
2017-11-22,960.3,976.0,959.3,975.0,15357,922.18
2017-11-23,983.0,987.5,940.0,950.0,15836,922.92
2017-11-24,947.0,954.0,935.2,938.0,12871,926.21
2017-11-27,940.0,946.0,937.1,946.0,9354,930.9
2017-11-28,945.9,949.9,940.0,946.5,9158,935.74
2017-11-29,949.0,960.0,946.5,960.0,7116,946.55
2017-11-30,963.1,972.9,958.0,958.0,10314,943.05
2017-12-01,959.2,964.6,958.0,963.6,7557,952.46
2017-12-04,967.5,988.0,965.2,988.0,7269,966.44
2017-12-05,992.0,992.0,951.6,955.0,13736,944.07
2017-12-06,953.0,953.9,923.4,949.0,19866,939.06
2017-12-07,948.9,952.9,930.6,937.0,17187,928.74
2017-12-08,935.0,943.0,929.0,936.0,16021,930.25
2017-12-11,928.5,929.0,900.0,900.0,13634,908.29
2017-12-12,906.0,917.9,860.0,905.0,26110,914.82
2017-12-13,914.0,916.8,895.0,910.0,24962,913.33
2017-12-14,906.9,928.0,905.2,928.0,20361,928.21
2017-12-15,935.0,939.0,927.0,935.0,16825,926.7
2017-12-18,940.0,958.0,938.0,958.0,13261,950.81
2017-12-19,956.8,961.9,941.2,942.5,15668,947.62
2017-12-20,944.8,953.5,941.1,949.0,12353,948.78
2017-12-21,948.0,953.6,937.8,937.8,7596,936.53
2017-12-22,950.0,956.0,949.1,956.0,15441,945.88
2017-12-25,958.2,961.3,956.3,961.3,9454,949.28
2017-12-26,961.9,976.0,961.4,976.0,12333,955.73
2017-12-27,975.0,978.8,960.0,966.0,14534,958.02
2017-12-28,968.1,979.3,965.2,977.9,13077,966.91
2017-12-29,980.0,988.8,978.0,980.0,16735,975.52
2018-01-02,983.9,999.0,980.8,999.0,11347,992.72
2018-01-03,1002.5,1015.2,1002.0,1012.8,16134,1004.66
2018-01-04,1014.8,1023.9,1012.8,1023.9,13815,1014.15
2018-01-05,1024.1,1025.0,1007.0,1012.0,16296,1007.73
2018-01-08,1008.3,1031.0,1005.7,1030.0,13326,1023.5
2018-01-09,1034.3,1043.0,1025.5,1042.0,17655,1039.64
2018-01-10,1042.5,1048.8,1035.0,1040.0,17692,1039.7
2018-01-11,1037.5,1054.0,1033.1,1052.8,16763,1047.2
2018-01-12,1053.1,1058.3,1046.6,1051.5,19166,1049.86
2018-01-15,1050.0,1059.0,1046.1,1059.0,15375,1063.11
2018-01-16,1059.0,1065.1,1050.2,1058.0,15517,1061.78
2018-01-17,1059.9,1060.7,1024.0,1024.0,11550,1030.0
2018-01-18,1021.0,1044.3,1013.2,1044.3,12075,1048.56
2018-01-19,1057.0,1063.9,1052.5,1052.5,20020,1053.47
2018-01-22,1056.0,1089.8,1056.0,1089.8,19173,1082.54
2018-01-23,1087.5,1103.0,1087.1,1100.0,10305,1082.54
2018-01-24,1100.0,1106.8,1098.1,1103.0,10735,1082.54
2018-01-25,1106.0,1123.5,1105.9,1119.0,18230,1095.52
2018-01-26,1120.2,1123.9,1105.0,1111.0,22144,1104.42
2018-01-29,1113.5,1116.6,1091.8,1093.0,18590,1096.78
2018-01-30,1086.0,1105.0,1078.0,1105.0,23466,1099.16
2018-01-31,1103.0,1112.0,1085.0,1085.0,23687,1095.9
2018-02-01,1086.3,1091.0,1072.5,1080.0,25179,1086.9
2018-02-02,1082.0,1087.0,1075.6,1087.0,23420,1090.4
2018-02-05,1081.0,1081.9,1042.0,1042.0,23907,1035.02
2018-02-06,1014.8,1035.0,978.0,1000.0,34837,1007.72
2018-02-07,1028.8,1031.7,1015.0,1020.0,27374,1030.91
2018-02-08,1019.9,1023.2,1004.5,1004.5,22948,1013.56
2018-02-09,957.0,1000.0,957.0,1000.0,28547,996.77
2018-02-12,1010.0,1039.0,1007.6,1039.0,13958,1034.76
2018-02-13,1046.1,1058.7,1044.8,1053.5,8526,1054.09
2018-02-21,1074.2,1092.5,1074.2,1082.0,16094,1075.47
2018-02-22,1071.5,1084.5,1059.9,1059.9,27033,1073.99
2018-02-23,1073.0,1106.0,1072.0,1106.0,27435,1089.96
2018-02-26,1121.0,1127.9,1099.0,1108.2,26368,1099.71
2018-02-27,1117.0,1120.0,1093.0,1112.0,36321,1106.09
2018-02-28,1102.2,1112.5,1098.0,1105.0,27133,1110.33
2018-03-01,1098.0,1115.0,1096.2,1105.5,33683,1105.84
2018-03-02,1097.0,1109.0,1092.3,1109.0,26006,1106.92
2018-03-05,1115.0,1119.7,1075.5,1075.5,22423,1080.83
2018-03-06,1086.4,1110.0,1081.1,1110.0,30557,1103.31
2018-03-07,1109.9,1111.0,1074.0,1087.0,33011,1092.17
2018-03-08,1095.1,1112.0,1092.2,1105.6,33867,1105.03
2018-03-09,1114.0,1120.0,1096.5,1106.0,31874,1106.54
2018-03-12,1117.0,1119.5,1106.2,1111.8,23088,1106.97
2018-03-13,1108.5,1116.0,1098.2,1116.0,28875,1111.38
2018-03-14,1115.7,1117.5,1110.1,1113.9,15889,1115.0
2018-03-15,1109.8,1113.0,1107.0,1109.5,9003,1110.26
2018-03-16,1123.0,1126.6,1121.1,1126.6,14259,1112.93
2018-03-19,1128.0,1137.0,1126.8,1131.1,14895,1130.26
2018-03-20,1127.7,1136.6,1126.5,1132.0,16426,1134.19
2018-03-21,1134.1,1142.3,1134.0,1139.9,17643,1147.26
2018-03-22,1146.0,1148.4,1139.0,1139.0,17855,1144.58
2018-03-23,1124.1,1127.6,1119.6,1126.0,24527,1128.93
2018-03-26,1125.6,1148.0,1125.1,1140.0,18497,1146.73
2018-03-27,1154.5,1154.5,1144.0,1146.9,19508,1150.3
2018-03-28,1143.3,1149.0,1141.1,1146.5,16640,1151.09
2018-03-29,1148.5,1149.9,1141.3,1142.8,15467,1144.74
2018-03-30,1144.0,1147.0,1139.3,1145.2,14884,1153.08
2018-04-02,1148.0,1163.4,1147.0,1162.0,17198,1171.21
2018-04-03,1161.2,1163.0,1156.5,1162.6,15942,1160.97
2018-04-04,1168.1,1170.5,1162.0,1162.0,16690,1165.75
2018-04-05,1167.0,1170.0,1163.3,1170.0,15374,1169.12
2018-04-06,1169.5,1173.8,1168.6,1170.0,13578,1174.37
2018-04-09,1170.9,1178.3,1170.5,1178.3,10699,1177.68
2018-04-10,1177.9,1179.8,1172.3,1174.0,14991,1168.06
2018-04-11,1175.0,1175.6,1140.0,1140.0,21598,1137.2
2018-04-12,1138.5,1145.0,1128.0,1141.0,29480,1143.5
2018-04-13,1145.2,1147.7,1125.0,1125.0,25078,1134.21
2018-04-16,1124.0,1132.8,1123.1,1125.0,18355,1128.03
2018-04-17,1127.3,1133.5,1120.2,1133.5,20613,1130.32
2018-04-18,1136.6,1136.9,1112.1,1112.2,18712,1115.7
2018-04-19,1113.8,1114.8,1065.0,1065.0,18501,1066.09
2018-04-20,1073.0,1096.9,1060.1,1096.9,45743,1089.45
2018-04-23,1098.9,1099.0,1030.5,1035.0,41255,1055.37
2018-04-24,1040.0,1064.7,1031.0,1044.0,53536,1053.99
2018-04-26,1047.5,1048.5,1004.0,1014.5,52271,1018.97
2018-04-27,1014.0,1038.0,1010.1,1031.0,62038,1027.97
2018-05-02,1033.0,1034.0,1000.1,1008.1,58624,1012.84
2018-05-03,1004.9,1021.5,991.5,1019.0,68891,1010.35
2018-05-04,1020.1,1021.9,1007.0,1013.0,54438,1010.89
2018-05-07,1017.0,1056.0,1016.0,1056.0,44783,1048.03
2018-05-08,1054.5,1067.0,1047.0,1050.0,68286,1047.83
2018-05-09,1048.0,1061.0,1041.0,1042.0,68699,1046.39
2018-05-10,1044.5,1048.0,1008.0,1014.0,66720,1019.69
2018-05-11,1010.0,1034.9,998.1,1034.0,71435,1030.79
2018-05-14,1037.0,1056.8,1028.6,1056.8,63703,1051.45
2018-05-15,1055.1,1072.9,1047.0,1047.0,65821,1055.49
2018-05-16,1049.0,1053.5,1024.0,1032.0,53866,1034.3
2018-05-17,1031.8,1033.0,1006.0,1006.0,48160,1007.09
2018-05-18,1013.8,1029.8,993.0,1026.9,69922,1022.21
2018-05-21,1028.0,1034.9,992.5,992.5,81025,997.21
2018-05-22,991.0,996.5,954.6,964.0,84001,958.95
2018-05-23,963.5,982.0,946.1,972.5,86276,968.54
2018-05-24,973.0,974.9,948.1,957.0,85277,960.55
2018-05-25,957.1,966.5,930.0,930.0,76618,936.32
2018-05-28,926.1,927.5,880.6,883.5,71052,898.0
2018-05-29,881.0,935.9,880.1,924.0,94873,924.9
2018-05-30,923.0,931.0,895.0,908.0,113359,918.64
2018-05-31,912.0,945.7,908.1,940.5,90673,947.31
2018-06-01,937.7,963.8,936.6,957.5,85724,969.15
2018-06-04,953.6,984.5,953.0,980.5,78215,996.67
2018-06-05,984.0,992.0,977.5,990.0,79309,1007.32
2018-06-06,993.0,1019.0,986.8,1019.0,69173,1022.72
2018-06-07,1020.0,1027.8,1011.0,1016.0,83969,1026.75
2018-06-08,1016.0,1020.3,1010.3,1017.9,66510,1025.87
2018-06-11,1015.8,1031.7,1012.0,1017.1,66844,1024.85
2018-06-12,1014.5,1014.5,995.1,1005.8,89829,1008.76
2018-06-13,1007.4,1018.5,1002.6,1018.5,83785,1018.59
2018-06-14,1018.8,1021.4,1002.0,1002.0,73466,1004.31
2018-06-15,1000.0,1008.0,994.2,1008.0,74736,1005.04
2018-06-18,1006.0,1008.1,970.0,970.0,78352,970.35
2018-06-19,964.2,965.0,908.1,937.9,104565,945.11
2018-06-20,945.0,963.5,935.0,961.0,113319,966.86
2018-06-21,962.0,963.0,942.5,954.0,69828,955.75
2018-06-22,940.0,969.6,937.4,967.2,112249,973.05
2018-06-25,972.9,988.0,972.2,973.2,83134,982.09
2018-06-26,969.0,969.2,949.6,968.0,109891,973.9
2018-06-27,975.1,976.9,945.0,945.0,120943,961.29
2018-06-28,945.0,952.5,926.1,941.0,140490,947.03
2018-06-29,943.2,951.9,936.7,943.2,118223,947.55
2018-07-02,940.0,942.3,912.5,921.0,128952,930.12
2018-07-03,924.0,925.9,890.1,890.1,138450,891.97
2018-07-04,889.4,898.0,878.6,893.0,147237,900.89
2018-07-05,894.0,894.5,856.1,866.0,140761,883.77
2018-07-06,871.0,904.0,857.3,895.0,163341,905.62
2018-07-09,907.0,916.8,884.0,884.0,146717,898.73
2018-07-10,890.9,910.8,882.5,889.0,162556,897.96
2018-07-11,877.0,877.9,853.2,871.0,153804,881.14
2018-07-12,872.0,891.6,870.0,876.0,147074,883.87
2018-07-13,883.0,902.0,882.6,902.0,155462,899.45
2018-07-16,910.0,914.8,898.0,908.0,139667,904.18
2018-07-17,902.0,918.0,897.1,918.0,136753,915.53
2018-07-18,923.0,934.1,920.5,934.1,84471,935.42
2018-07-19,936.0,942.5,933.0,941.0,64497,941.09
2018-07-20,932.3,946.0,927.5,945.0,100734,926.5
2018-07-23,938.0,948.1,925.0,925.0,102432,932.17
2018-07-24,930.0,933.9,915.2,924.0,138258,923.53
2018-07-25,927.2,931.5,911.0,911.0,121062,915.68
2018-07-26,912.1,919.8,904.2,919.8,123125,921.33
2018-07-27,919.0,926.7,918.2,925.0,97568,927.19
2018-07-30,926.4,940.8,926.2,937.5,77330,939.6
2018-07-31,938.0,945.6,935.2,938.5,104633,944.38
2018-08-01,939.0,943.1,931.5,934.0,97696,939.31
2018-08-02,932.0,938.2,923.1,938.2,98563,937.86
2018-08-03,938.2,944.9,935.0,935.0,74712,941.12
2018-08-06,937.0,939.0,930.0,934.6,95205,939.84
2018-08-07,935.1,938.0,931.6,934.5,83809,936.92
2018-08-08,935.2,943.5,934.8,943.5,64108,945.89
2018-08-09,946.0,950.8,940.2,940.2,79080,943.91
2018-08-10,939.0,947.6,935.8,946.5,85062,948.32
2018-08-13,943.5,954.6,942.2,953.0,81541,960.02
2018-08-14,955.1,962.0,952.1,959.3,79266,965.6
2018-08-15,958.0,962.4,946.6,946.6,89449,947.82
2018-08-16,942.4,947.5,935.5,947.0,71410,950.18
2018-08-17,953.0,954.8,944.6,947.0,98531,949.23
2018-08-20,946.2,951.5,942.5,945.0,88210,945.65
2018-08-21,944.7,958.5,944.0,958.5,83718,955.27
2018-08-22,959.6,960.6,953.5,957.0,87588,959.63
2018-08-23,957.0,963.5,955.8,960.6,84610,960.94
2018-08-24,959.1,963.0,956.3,958.5,73122,960.42
2018-08-27,960.8,965.2,960.7,963.2,56268,966.55
2018-08-28,966.0,967.7,964.3,965.6,54821,971.01
2018-08-29,966.0,966.2,961.9,962.0,47353,964.99
2018-08-30,961.0,970.5,960.6,970.5,47804,975.43
2018-08-31,970.0,973.3,963.5,965.7,62804,969.23
2018-09-04,964.5,966.0,956.0,956.0,64838,951.14
2018-09-05,952.5,954.5,940.1,944.0,87717,941.0
2018-09-06,945.1,945.9,933.0,934.7,94376,932.12
2018-09-07,935.5,946.5,930.3,943.5,99446,945.59
2018-09-10,944.5,944.8,934.6,936.2,82105,943.31
2018-09-11,936.8,953.1,935.8,953.1,84494,958.91
2018-09-12,955.0,963.0,950.0,950.0,103483,958.67
2018-09-13,953.0,959.5,948.6,953.0,126627,957.17
2018-09-14,956.0,960.9,953.5,958.5,91254,960.33
2018-09-17,955.4,956.4,949.0,950.5,75317,953.79
2018-09-18,948.0,962.0,947.0,962.0,76287,959.75
2018-09-19,964.3,966.9,959.7,962.8,71919,962.7
2018-09-20,963.5,971.0,962.2,971.0,52525,971.18
2018-09-21,975.9,980.5,968.5,980.0,76966,974.43
2018-09-24,978.1,985.0,977.1,981.5,69909,985.59
2018-09-25,982.2,983.9,979.4,980.6,62209,985.11
2018-09-26,981.4,988.4,980.1,981.0,64336,984.39
2018-09-27,983.0,987.3,980.9,985.8,77757,989.45
2018-09-28,987.5,990.4,986.1,987.4,60396,994.73
2018-10-01,989.0,991.3,984.9,984.9,50646,990.41
2018-10-02,984.5,988.5,981.1,984.0,61385,987.88
2018-10-03,984.5,987.3,982.6,986.5,57468,990.6
2018-10-04,987.2,992.0,986.5,992.0,49998,993.61
2018-10-05,990.1,990.9,982.3,982.6,53977,980.75
2018-10-08,979.0,979.5,972.0,973.2,64737,970.28
2018-10-09,974.3,976.4,970.2,973.5,62027,967.37
2018-10-10,973.0,973.9,970.2,971.6,43355,966.27
2018-10-11,952.0,959.0,920.2,920.2,129141,920.02
2018-10-12,910.0,944.5,902.9,944.0,148760,943.49
2018-10-15,939.5,942.0,919.0,919.0,134430,928.55
2018-10-16,925.5,938.0,924.6,935.1,121759,939.41
2018-10-17,953.0,953.0,942.3,945.5,93709,945.91
2018-10-18,941.0,941.9,936.3,937.6,62813,937.54
2018-10-19,922.0,932.9,919.3,932.2,116399,931.69
2018-10-22,935.2,937.2,920.5,921.5,102024,922.75
2018-10-23,912.0,914.7,890.2,901.0,136594,908.0
2018-10-24,909.0,910.8,885.0,885.0,161827,896.5
2018-10-25,860.0,888.0,856.0,886.5,184367,888.86
2018-10-26,892.5,894.1,870.0,870.0,191779,881.06
2018-10-29,875.0,881.0,868.3,878.0,191419,874.43
2018-10-30,875.5,881.5,872.5,876.0,159289,874.06
2018-10-31,884.0,904.0,882.6,904.0,118224,901.57
2018-11-01,904.3,904.9,876.5,884.0,178898,887.72
2018-11-02,893.5,910.0,891.2,906.5,175235,903.43
2018-11-05,896.4,904.0,889.0,899.0,158585,904.83
2018-11-06,905.0,906.5,894.0,894.0,161568,899.61
2018-11-07,896.5,899.5,885.3,894.8,162816,899.25
2018-11-08,906.0,906.9,893.6,893.6,119033,900.4
2018-11-09,893.0,893.8,880.0,880.0,132579,885.65
2018-11-12,879.0,887.9,875.0,885.0,127313,888.2
2018-11-13,867.1,878.1,866.8,872.8,138814,875.73
2018-11-14,870.4,875.9,864.5,871.0,117102,871.55
2018-11-15,870.0,873.3,862.5,864.4,55545,864.98
2018-11-16,868.1,874.9,867.6,870.0,121319,869.24
2018-11-19,873.0,881.0,872.1,881.0,89525,888.76
2018-11-20,878.8,883.7,876.5,881.3,117888,893.09
2018-11-21,876.0,895.0,875.1,895.0,114488,897.1
2018-11-22,892.8,896.8,889.5,892.0,114410,898.9
2018-11-23,892.2,892.8,886.0,886.8,98860,890.62
2018-11-26,887.9,891.0,882.8,890.4,102089,895.05
2018-11-27,890.5,893.9,884.4,884.4,103148,895.3
2018-11-28,886.1,891.6,884.1,890.3,105558,901.4
2018-11-29,897.0,897.9,885.2,885.2,102906,897.58
2018-11-30,886.2,889.9,880.5,887.5,124714,894.79
2018-12-03,896.7,915.7,896.3,915.0,105875,921.72
2018-12-04,912.5,917.8,904.0,912.8,144157,927.46
2018-12-05,906.2,919.4,905.4,915.5,157723,925.68
2018-12-06,912.0,914.5,902.6,909.0,143614,922.86
2018-12-07,913.0,920.4,912.5,914.1,125888,929.59
2018-12-10,911.0,914.4,908.4,913.9,116921,922.82
2018-12-11,916.5,916.7,909.5,914.1,117500,922.34
2018-12-12,917.0,923.0,916.5,920.8,96037,927.7
2018-12-13,922.8,926.0,921.0,923.9,92408,928.9
2018-12-14,921.5,922.3,913.1,913.1,82231,918.79
2018-12-17,912.0,912.5,897.0,897.0,101062,901.41
2018-12-18,893.0,894.6,883.5,894.6,122686,890.68
2018-12-19,896.0,896.1,878.4,884.5,122924,882.79
2018-12-20,877.3,885.4,876.1,878.5,80638,877.03
2018-12-21,876.6,879.6,871.1,879.5,143153,873.09
2018-12-24,879.8,881.9,874.2,877.0,108772,873.64
2018-12-25,860.1,868.6,855.0,867.7,150895,865.69
2018-12-26,869.9,872.0,863.0,863.0,152700,861.02
2018-12-27,879.0,879.0,867.5,867.5,139593,865.45
2018-12-28,870.0,870.6,855.0,855.0,120906,854.99
2019-01-02,856.0,857.3,839.8,842.7,93065,855.66
2019-01-03,845.3,845.9,820.0,824.0,186737,838.79
2019-01-04,822.0,838.5,814.1,834.0,190101,840.17
2019-01-07,840.5,846.2,832.2,842.0,167223,851.41
2019-01-08,841.1,843.4,835.0,840.8,164901,845.43
2019-01-09,845.2,851.8,844.9,847.5,153409,855.51
2019-01-10,845.0,848.5,840.5,840.5,127039,857.95
2019-01-11,845.0,849.5,841.8,845.6,113695,860.3
2019-01-14,844.6,847.8,842.8,846.5,88977,859.42
2019-01-15,850.0,860.0,849.2,860.0,102201,865.1
2019-01-16,861.4,863.3,858.5,860.7,91175,864.29
2019-01-17,860.5,861.4,850.0,850.0,25125,853.34
2019-01-18,844.5,847.1,841.0,841.0,117714,854.79
2019-01-21,844.2,862.4,844.1,862.0,124449,864.1
2019-01-22,863.4,863.4,852.7,854.0,129617,859.17
2019-01-23,853.1,863.5,851.7,860.8,147020,861.76
2019-01-24,860.5,866.8,859.0,861.7,166608,865.52
2019-01-25,865.0,869.0,863.5,867.9,129033,867.7
2019-01-28,870.3,872.5,863.7,865.0,113209,868.76
2019-01-29,862.1,870.0,860.6,870.0,109982,872.03
2019-01-30,871.5,872.8,867.0,868.2,122547,869.16
2019-01-31,873.1,874.8,866.0,866.9,103481,866.06
2019-02-01,866.4,868.8,862.5,868.5,91446,859.81
2019-02-11,868.0,878.0,868.0,878.0,63804,878.67
2019-02-12,878.1,890.0,877.8,885.0,119240,888.33
2019-02-13,888.0,896.0,885.6,894.5,137697,897.42
2019-02-14,893.9,896.8,890.6,892.1,122562,900.12
2019-02-15,890.5,892.6,887.0,889.6,87710,897.74
2019-02-18,897.9,899.6,895.6,899.5,67201,904.93
2019-02-19,900.0,908.8,900.0,900.1,84749,907.82
2019-02-20,901.5,908.9,899.5,908.9,87347,911.8
2019-02-21,908.1,925.0,908.0,925.0,37825,926.09
2019-02-22,913.0,924.5,911.5,919.4,124838,929.5
2019-02-25,926.0,938.2,925.5,937.0,114068,939.47
2019-02-26,934.0,935.1,918.8,922.9,140349,929.51
2019-02-27,927.8,932.5,920.5,923.0,132041,930.54
2019-02-28,923.0,923.7,900.0,900.0,150089,904.98
2019-03-01,906.1,912.6,901.6,910.0,153034,915.32
2019-03-04,915.0,927.3,915.0,926.9,119586,928.42
2019-03-05,922.0,930.5,917.5,917.5,163684,923.66
2019-03-06,914.0,918.9,905.5,918.0,163768,923.58
2019-03-07,919.9,925.6,908.0,908.0,180793,922.29
2019-03-08,904.0,906.6,895.1,899.0,158087,914.74
2019-03-11,904.0,912.4,902.0,911.8,137706,916.24
2019-03-12,919.0,930.0,915.5,930.0,129418,929.86
2019-03-13,927.8,933.6,926.6,927.0,131532,935.41
2019-03-14,930.0,930.4,924.5,926.0,128306,935.62
2019-03-15,927.6,928.0,922.1,927.0,93781,927.06
2019-03-18,932.0,937.5,931.2,935.1,71031,932.75
2019-03-19,934.0,935.1,924.8,926.1,96669,927.56
2019-03-20,922.0,925.2,916.3,925.2,81860,924.12
2019-03-21,925.2,926.8,908.0,908.0,43787,907.87
2019-03-22,895.6,900.8,891.0,897.4,134932,912.27
2019-03-25,882.0,885.0,873.8,883.0,115852,893.4
2019-03-26,887.1,888.6,878.0,880.0,124485,894.58
2019-03-27,883.9,887.5,881.8,884.0,97998,901.76
2019-03-28,881.3,885.9,880.4,883.2,90089,901.65
2019-03-29,887.9,891.1,884.0,884.0,103474,900.13
2019-04-01,890.8,890.8,887.0,890.0,64539,905.87
2019-04-02,895.1,896.0,885.1,885.1,84449,903.59
2019-04-03,886.9,888.0,882.5,888.0,89475,901.5
2019-04-04,887.0,889.6,884.4,888.0,96497,904.33
2019-04-05,888.9,889.0,886.6,888.0,60717,904.69
2019-04-08,888.5,894.8,888.2,894.8,71697,906.55
2019-04-09,895.5,896.2,885.8,887.0,102480,900.07
2019-04-10,882.9,886.2,881.1,885.2,100449,893.19
2019-04-11,885.0,885.5,881.1,883.1,84577,896.04
2019-04-12,883.2,885.5,881.9,885.0,60016,893.1
2019-04-16,881.8,885.4,879.0,885.4,70041,887.76
2019-04-17,885.0,886.5,882.1,883.0,61812,885.66
2019-04-18,882.0,883.2,877.0,877.0,38596,877.02
2019-04-19,867.6,868.4,865.5,866.2,55777,880.52
2019-04-22,865.1,865.6,859.9,861.9,70407,878.23
2019-04-23,861.1,867.9,861.1,865.5,84389,878.29
2019-04-24,868.5,873.4,867.9,872.8,80829,888.65
2019-04-25,872.1,872.9,867.0,868.6,76615,885.65
2019-04-26,868.1,877.0,867.9,877.0,101989,890.55
2019-05-02,879.4,879.5,874.7,877.6,63394,893.87
2019-05-03,875.2,880.0,875.1,880.0,78071,895.42
2019-05-06,870.9,871.0,864.2,866.6,85333,878.8
2019-05-07,871.0,874.4,867.7,873.7,108009,877.02
